Vardas              Pavarde             Galutinis (vid.)  
Vardenis16959       Pavardenis16959     3.32              
Vardenis16962       Pavardenis16962     2.64              
Vardenis16969       Pavardenis16969     3.88              
Vardenis16971       Pavardenis16971     2.88              
Vardenis16973       Pavardenis16973     4.08              
Vardenis16974       Pavardenis16974     4.56              
Vardenis16978       Pavardenis16978     4.32              
Vardenis16979       Pavardenis16979     4.64              
Vardenis16985       Pavardenis16985     3.12              
Vardenis16986       Pavardenis16986     4.68              
Vardenis16987       Pavardenis16987     3.08              
Vardenis16991       Pavardenis16991     4.96              
Vardenis16992       Pavardenis16992     4.52              
Vardenis16994       Pavardenis16994     3.12              
Vardenis16995       Pavardenis16995     3.64              
Vardenis16998       Pavardenis16998     4.76              
Vardenis16999       Pavardenis16999     4.84              
Vardenis17001       Pavardenis17001     4.80              
Vardenis17002       Pavardenis17002     3.32              
Vardenis17007       Pavardenis17007     3.28              
Vardenis17011       Pavardenis17011     3.84              
Vardenis17021       Pavardenis17021     4.48              
Vardenis17024       Pavardenis17024     3.56              
Vardenis17025       Pavardenis17025     4.28              
Vardenis17026       Pavardenis17026     2.16              
Vardenis17028       Pavardenis17028     4.24              
Vardenis17029       Pavardenis17029     2.64              
Vardenis17030       Pavardenis17030     4.32              
Vardenis17031       Pavardenis17031     3.56              
Vardenis17032       Pavardenis17032     4.20              
Vardenis17033       Pavardenis17033     4.00              
Vardenis17034       Pavardenis17034     3.16              
Vardenis17037       Pavardenis17037     4.84              
Vardenis17038       Pavardenis17038     3.96              
Vardenis17039       Pavardenis17039     3.08              
Vardenis17041       Pavardenis17041     2.60              
Vardenis17044       Pavardenis17044     4.04              
Vardenis17047       Pavardenis17047     3.84              
Vardenis17050       Pavardenis17050     3.12              
Vardenis17052       Pavardenis17052     4.48              
Vardenis17053       Pavardenis17053     4.64              
Vardenis17054       Pavardenis17054     2.40              
Vardenis17055       Pavardenis17055     3.32              
Vardenis17056       Pavardenis17056     4.56              
Vardenis17057       Pavardenis17057     4.80              
Vardenis17058       Pavardenis17058     3.12              
Vardenis17059       Pavardenis17059     4.20              
Vardenis17060       Pavardenis17060     2.64              
Vardenis17061       Pavardenis17061     3.88              
Vardenis17062       Pavardenis17062     4.40              
Vardenis17065       Pavardenis17065     4.88              
Vardenis17067       Pavardenis17067     3.88              
Vardenis17068       Pavardenis17068     3.40              
Vardenis17071       Pavardenis17071     4.44              
Vardenis17073       Pavardenis17073     4.12              
Vardenis17074       Pavardenis17074     3.40              
Vardenis17077       Pavardenis17077     4.08              
Vardenis17080       Pavardenis17080     3.52              
Vardenis17081       Pavardenis17081     4.04              
Vardenis17082       Pavardenis17082     4.32              
Vardenis17083       Pavardenis17083     3.04              
Vardenis17084       Pavardenis17084     2.88              
Vardenis17090       Pavardenis17090     3.00              
Vardenis17092       Pavardenis17092     3.00              
Vardenis17095       Pavardenis17095     4.76              
Vardenis17096       Pavardenis17096     3.64              
Vardenis17100       Pavardenis17100     2.64              
Vardenis17104       Pavardenis17104     4.76              
Vardenis17107       Pavardenis17107     4.60              
Vardenis17110       Pavardenis17110     3.84              
Vardenis17112       Pavardenis17112     4.84              
Vardenis17117       Pavardenis17117     3.16              
Vardenis17118       Pavardenis17118     3.88              
Vardenis17120       Pavardenis17120     4.32              
Vardenis17127       Pavardenis17127     3.76              
Vardenis17128       Pavardenis17128     4.16              
Vardenis17129       Pavardenis17129     4.76              
Vardenis17130       Pavardenis17130     4.88              
Vardenis17131       Pavardenis17131     3.92              
Vardenis17137       Pavardenis17137     3.68              
Vardenis17138       Pavardenis17138     3.60              
Vardenis17139       Pavardenis17139     2.92              
Vardenis17140       Pavardenis17140     4.96              
Vardenis17143       Pavardenis17143     3.92              
Vardenis17145       Pavardenis17145     2.64              
Vardenis17146       Pavardenis17146     3.64              
Vardenis17149       Pavardenis17149     3.36              
Vardenis17152       Pavardenis17152     4.28              
Vardenis17155       Pavardenis17155     2.96              
Vardenis17157       Pavardenis17157     3.36              
Vardenis17159       Pavardenis17159     2.04              
Vardenis17163       Pavardenis17163     4.84              
Vardenis17166       Pavardenis17166     4.40              
Vardenis17169       Pavardenis17169     3.32              
Vardenis17170       Pavardenis17170     4.48              
Vardenis17171       Pavardenis17171     4.00              
Vardenis17172       Pavardenis17172     3.40              
Vardenis17173       Pavardenis17173     3.64              
Vardenis17174       Pavardenis17174     4.36              
Vardenis17178       Pavardenis17178     4.76              
Vardenis17184       Pavardenis17184     2.80              
Vardenis17191       Pavardenis17191     3.88              
Vardenis17192       Pavardenis17192     2.80              
Vardenis17193       Pavardenis17193     3.96              
Vardenis17194       Pavardenis17194     2.36              
Vardenis17197       Pavardenis17197     4.20              
Vardenis17198       Pavardenis17198     4.12              
Vardenis17199       Pavardenis17199     4.72              
Vardenis17206       Pavardenis17206     3.52              
Vardenis17217       Pavardenis17217     3.76              
Vardenis17218       Pavardenis17218     4.56              
Vardenis17221       Pavardenis17221     3.20              
Vardenis17223       Pavardenis17223     2.68              
Vardenis17229       Pavardenis17229     2.88              
Vardenis17231       Pavardenis17231     2.16              
Vardenis17233       Pavardenis17233     3.28              
Vardenis17235       Pavardenis17235     4.40              
Vardenis17236       Pavardenis17236     2.40              
Vardenis17237       Pavardenis17237     3.12              
Vardenis17240       Pavardenis17240     4.72              
Vardenis17242       Pavardenis17242     3.96              
Vardenis17243       Pavardenis17243     4.24              
Vardenis17245       Pavardenis17245     4.92              
Vardenis17247       Pavardenis17247     2.80              
Vardenis17252       Pavardenis17252     4.52              
Vardenis17253       Pavardenis17253     4.44              
Vardenis17255       Pavardenis17255     3.88              
Vardenis17256       Pavardenis17256     3.72              
Vardenis17258       Pavardenis17258     3.96              
Vardenis17262       Pavardenis17262     4.56              
Vardenis17264       Pavardenis17264     4.80              
Vardenis17267       Pavardenis17267     4.96              
Vardenis17269       Pavardenis17269     4.36              
Vardenis17270       Pavardenis17270     3.96              
Vardenis17271       Pavardenis17271     4.68              
Vardenis17273       Pavardenis17273     3.12              
Vardenis17276       Pavardenis17276     4.48              
Vardenis17277       Pavardenis17277     4.28              
Vardenis17281       Pavardenis17281     3.28              
Vardenis17282       Pavardenis17282     2.72              
Vardenis17286       Pavardenis17286     3.56              
Vardenis17287       Pavardenis17287     3.48              
Vardenis17289       Pavardenis17289     4.36              
Vardenis17293       Pavardenis17293     4.96              
Vardenis17295       Pavardenis17295     2.88              
Vardenis17296       Pavardenis17296     3.36              
Vardenis17297       Pavardenis17297     3.88              
Vardenis17300       Pavardenis17300     4.56              
Vardenis17305       Pavardenis17305     3.84              
Vardenis17306       Pavardenis17306     4.80              
Vardenis17311       Pavardenis17311     3.28              
Vardenis17313       Pavardenis17313     4.52              
Vardenis17314       Pavardenis17314     3.84              
Vardenis17315       Pavardenis17315     3.56              
Vardenis17316       Pavardenis17316     3.40              
Vardenis17317       Pavardenis17317     2.52              
Vardenis17318       Pavardenis17318     2.92              
Vardenis17323       Pavardenis17323     4.36              
Vardenis17326       Pavardenis17326     3.16              
Vardenis17332       Pavardenis17332     4.88              
Vardenis17335       Pavardenis17335     4.12              
Vardenis17336       Pavardenis17336     4.24              
Vardenis17340       Pavardenis17340     4.44              
Vardenis17342       Pavardenis17342     2.72              
Vardenis17345       Pavardenis17345     4.80              
Vardenis17346       Pavardenis17346     4.04              
Vardenis17347       Pavardenis17347     3.56              
Vardenis17350       Pavardenis17350     4.72              
Vardenis17351       Pavardenis17351     2.36              
Vardenis17354       Pavardenis17354     3.20              
Vardenis17356       Pavardenis17356     4.64              
Vardenis17357       Pavardenis17357     3.68              
Vardenis17360       Pavardenis17360     4.16              
Vardenis17364       Pavardenis17364     4.40              
Vardenis17365       Pavardenis17365     4.72              
Vardenis17366       Pavardenis17366     2.88              
Vardenis17367       Pavardenis17367     3.12              
Vardenis17369       Pavardenis17369     3.64              
Vardenis17371       Pavardenis17371     4.04              
Vardenis17372       Pavardenis17372     4.96              
Vardenis17375       Pavardenis17375     3.52              
Vardenis17377       Pavardenis17377     3.92              
Vardenis17380       Pavardenis17380     4.64              
Vardenis17383       Pavardenis17383     3.68              
Vardenis17384       Pavardenis17384     4.28              
Vardenis17385       Pavardenis17385     3.04              
Vardenis17387       Pavardenis17387     3.68              
Vardenis17388       Pavardenis17388     4.88              
Vardenis17390       Pavardenis17390     3.80              
Vardenis17392       Pavardenis17392     4.56              
Vardenis17396       Pavardenis17396     2.56              
Vardenis17399       Pavardenis17399     3.16              
Vardenis17401       Pavardenis17401     2.80              
Vardenis17403       Pavardenis17403     4.84              
Vardenis17406       Pavardenis17406     2.76              
Vardenis17407       Pavardenis17407     3.48              
Vardenis17408       Pavardenis17408     2.60              
Vardenis17409       Pavardenis17409     4.88              
Vardenis17410       Pavardenis17410     2.88              
Vardenis17411       Pavardenis17411     3.20              
Vardenis17412       Pavardenis17412     1.92              
Vardenis17416       Pavardenis17416     4.80              
Vardenis17417       Pavardenis17417     2.80              
Vardenis17420       Pavardenis17420     2.96              
Vardenis17421       Pavardenis17421     4.20              
Vardenis17422       Pavardenis17422     3.20              
Vardenis17423       Pavardenis17423     3.08              
Vardenis17426       Pavardenis17426     2.64              
Vardenis17429       Pavardenis17429     3.24              
Vardenis17430       Pavardenis17430     3.04              
Vardenis17432       Pavardenis17432     4.88              
Vardenis17434       Pavardenis17434     4.16              
Vardenis17436       Pavardenis17436     3.76              
Vardenis17438       Pavardenis17438     4.00              
Vardenis17441       Pavardenis17441     4.80              
Vardenis17443       Pavardenis17443     3.24              
Vardenis17444       Pavardenis17444     4.76              
Vardenis17454       Pavardenis17454     3.20              
Vardenis17455       Pavardenis17455     4.28              
Vardenis17456       Pavardenis17456     4.12              
Vardenis17458       Pavardenis17458     2.72              
Vardenis17462       Pavardenis17462     4.88              
Vardenis17463       Pavardenis17463     3.92              
Vardenis17465       Pavardenis17465     4.28              
Vardenis17466       Pavardenis17466     3.32              
Vardenis17469       Pavardenis17469     3.32              
Vardenis17470       Pavardenis17470     4.48              
Vardenis17471       Pavardenis17471     4.76              
Vardenis17475       Pavardenis17475     3.28              
Vardenis17479       Pavardenis17479     4.16              
Vardenis17481       Pavardenis17481     4.68              
Vardenis17487       Pavardenis17487     3.36              
Vardenis17488       Pavardenis17488     4.36              
Vardenis17490       Pavardenis17490     2.80              
Vardenis17491       Pavardenis17491     2.80              
Vardenis17492       Pavardenis17492     3.40              
Vardenis17494       Pavardenis17494     2.96              
Vardenis17502       Pavardenis17502     4.04              
Vardenis17504       Pavardenis17504     3.36              
Vardenis17510       Pavardenis17510     3.72              
Vardenis17511       Pavardenis17511     2.20              
Vardenis17513       Pavardenis17513     3.04              
Vardenis17515       Pavardenis17515     4.92              
Vardenis17516       Pavardenis17516     4.80              
Vardenis17518       Pavardenis17518     4.44              
Vardenis17521       Pavardenis17521     4.60              
Vardenis17524       Pavardenis17524     2.60              
Vardenis17525       Pavardenis17525     3.56              
Vardenis17526       Pavardenis17526     2.84              
Vardenis17532       Pavardenis17532     4.80              
Vardenis17536       Pavardenis17536     4.48              
Vardenis17537       Pavardenis17537     4.64              
Vardenis17538       Pavardenis17538     3.64              
Vardenis17539       Pavardenis17539     4.00              
Vardenis17540       Pavardenis17540     4.12              
Vardenis17541       Pavardenis17541     3.00              
Vardenis17542       Pavardenis17542     3.96              
Vardenis17543       Pavardenis17543     4.76              
Vardenis17547       Pavardenis17547     3.80              
Vardenis17554       Pavardenis17554     2.72              
Vardenis17556       Pavardenis17556     2.40              
Vardenis17557       Pavardenis17557     3.16              
Vardenis17564       Pavardenis17564     4.24              
Vardenis17566       Pavardenis17566     4.96              
Vardenis17570       Pavardenis17570     4.64              
Vardenis17571       Pavardenis17571     4.72              
Vardenis17572       Pavardenis17572     4.60              
Vardenis17575       Pavardenis17575     4.72              
Vardenis17579       Pavardenis17579     3.32              
Vardenis17583       Pavardenis17583     3.16              
Vardenis17587       Pavardenis17587     3.32              
Vardenis17588       Pavardenis17588     3.24              
Vardenis17591       Pavardenis17591     3.32              
Vardenis17596       Pavardenis17596     3.56              
Vardenis17598       Pavardenis17598     2.32              
Vardenis17600       Pavardenis17600     3.16              
Vardenis17602       Pavardenis17602     3.88              
Vardenis17603       Pavardenis17603     2.04              
Vardenis17610       Pavardenis17610     2.48              
Vardenis17613       Pavardenis17613     4.60              
Vardenis17615       Pavardenis17615     2.40              
Vardenis17620       Pavardenis17620     3.64              
Vardenis17624       Pavardenis17624     2.52              
Vardenis17626       Pavardenis17626     2.76              
Vardenis17630       Pavardenis17630     4.40              
Vardenis17640       Pavardenis17640     4.32              
Vardenis17647       Pavardenis17647     2.88              
Vardenis17648       Pavardenis17648     3.52              
Vardenis17649       Pavardenis17649     3.24              
Vardenis17650       Pavardenis17650     3.04              
Vardenis17653       Pavardenis17653     2.76              
Vardenis17654       Pavardenis17654     2.76              
Vardenis17655       Pavardenis17655     2.60              
Vardenis17657       Pavardenis17657     3.76              
Vardenis17658       Pavardenis17658     3.92              
Vardenis17663       Pavardenis17663     4.24              
Vardenis17664       Pavardenis17664     3.36              
Vardenis17665       Pavardenis17665     3.88              
Vardenis17666       Pavardenis17666     3.68              
Vardenis17670       Pavardenis17670     4.16              
Vardenis17671       Pavardenis17671     3.48              
Vardenis17673       Pavardenis17673     3.76              
Vardenis17674       Pavardenis17674     3.00              
Vardenis17689       Pavardenis17689     4.92              
Vardenis17691       Pavardenis17691     4.84              
Vardenis17695       Pavardenis17695     4.12              
Vardenis17696       Pavardenis17696     3.32              
Vardenis17698       Pavardenis17698     2.76              
Vardenis17701       Pavardenis17701     2.76              
Vardenis17708       Pavardenis17708     2.96              
Vardenis17710       Pavardenis17710     4.80              
Vardenis17711       Pavardenis17711     2.68              
Vardenis17712       Pavardenis17712     2.60              
Vardenis17715       Pavardenis17715     4.68              
Vardenis17716       Pavardenis17716     4.56              
Vardenis17717       Pavardenis17717     3.48              
Vardenis17719       Pavardenis17719     3.64              
Vardenis17721       Pavardenis17721     4.12              
Vardenis17722       Pavardenis17722     3.16              
Vardenis17723       Pavardenis17723     4.56              
Vardenis17727       Pavardenis17727     4.08              
Vardenis17732       Pavardenis17732     4.60              
Vardenis17733       Pavardenis17733     3.12              
Vardenis17738       Pavardenis17738     4.88              
Vardenis17741       Pavardenis17741     3.08              
Vardenis17746       Pavardenis17746     2.92              
Vardenis17750       Pavardenis17750     3.48              
Vardenis17752       Pavardenis17752     3.12              
Vardenis17753       Pavardenis17753     4.88              
Vardenis17762       Pavardenis17762     2.84              
Vardenis17771       Pavardenis17771     4.00              
Vardenis17773       Pavardenis17773     2.80              
Vardenis17782       Pavardenis17782     4.24              
Vardenis17787       Pavardenis17787     4.80              
Vardenis17789       Pavardenis17789     2.88              
Vardenis17792       Pavardenis17792     3.00              
Vardenis17794       Pavardenis17794     3.92              
Vardenis17799       Pavardenis17799     4.52              
Vardenis17801       Pavardenis17801     3.08              
Vardenis17803       Pavardenis17803     3.20              
Vardenis17804       Pavardenis17804     4.04              
Vardenis17808       Pavardenis17808     4.84              
Vardenis17810       Pavardenis17810     3.44              
Vardenis17811       Pavardenis17811     4.72              
Vardenis17812       Pavardenis17812     4.88              
Vardenis17817       Pavardenis17817     4.80              
Vardenis17819       Pavardenis17819     4.40              
Vardenis17828       Pavardenis17828     3.44              
Vardenis17829       Pavardenis17829     3.60              
Vardenis17830       Pavardenis17830     3.16              
Vardenis17831       Pavardenis17831     4.56              
Vardenis17836       Pavardenis17836     3.36              
Vardenis17838       Pavardenis17838     3.92              
Vardenis17839       Pavardenis17839     4.44              
Vardenis17843       Pavardenis17843     2.72              
Vardenis17844       Pavardenis17844     4.44              
Vardenis17846       Pavardenis17846     2.72              
Vardenis17847       Pavardenis17847     3.40              
Vardenis17850       Pavardenis17850     2.88              
Vardenis17855       Pavardenis17855     4.52              
Vardenis17857       Pavardenis17857     3.76              
Vardenis17859       Pavardenis17859     4.92              
Vardenis17864       Pavardenis17864     3.92              
Vardenis17866       Pavardenis17866     3.84              
Vardenis17868       Pavardenis17868     4.44              
Vardenis17869       Pavardenis17869     4.04              
Vardenis17872       Pavardenis17872     4.36              
Vardenis17874       Pavardenis17874     3.72              
Vardenis17876       Pavardenis17876     4.48              
Vardenis17894       Pavardenis17894     3.04              
Vardenis17899       Pavardenis17899     3.52              
Vardenis17905       Pavardenis17905     3.28              
Vardenis17908       Pavardenis17908     4.44              
Vardenis17909       Pavardenis17909     3.56              
Vardenis17913       Pavardenis17913     2.60              
Vardenis17914       Pavardenis17914     2.92              
Vardenis17916       Pavardenis17916     3.00              
Vardenis17917       Pavardenis17917     4.24              
Vardenis17919       Pavardenis17919     4.48              
Vardenis17920       Pavardenis17920     4.28              
Vardenis17922       Pavardenis17922     4.04              
Vardenis17924       Pavardenis17924     2.60              
Vardenis17928       Pavardenis17928     3.32              
Vardenis17931       Pavardenis17931     2.84              
Vardenis17933       Pavardenis17933     3.56              
Vardenis17934       Pavardenis17934     3.28              
Vardenis17935       Pavardenis17935     4.76              
Vardenis17936       Pavardenis17936     3.68              
Vardenis17939       Pavardenis17939     4.08              
Vardenis17940       Pavardenis17940     4.84              
Vardenis17942       Pavardenis17942     3.24              
Vardenis17946       Pavardenis17946     2.68              
Vardenis17947       Pavardenis17947     4.36              
Vardenis17952       Pavardenis17952     2.64              
Vardenis17953       Pavardenis17953     4.44              
Vardenis17955       Pavardenis17955     4.24              
Vardenis17957       Pavardenis17957     3.08              
Vardenis17961       Pavardenis17961     3.80              
Vardenis17962       Pavardenis17962     4.80              
Vardenis17963       Pavardenis17963     4.96              
Vardenis17965       Pavardenis17965     2.68              
Vardenis17966       Pavardenis17966     4.64              
Vardenis17967       Pavardenis17967     3.00              
Vardenis17968       Pavardenis17968     3.68              
Vardenis17969       Pavardenis17969     3.68              
Vardenis17971       Pavardenis17971     3.00              
Vardenis17972       Pavardenis17972     3.56              
Vardenis17975       Pavardenis17975     4.08              
Vardenis17976       Pavardenis17976     4.16              
Vardenis17977       Pavardenis17977     4.40              
Vardenis17979       Pavardenis17979     2.92              
Vardenis17984       Pavardenis17984     2.84              
Vardenis17985       Pavardenis17985     4.92              
Vardenis17986       Pavardenis17986     3.60              
Vardenis17988       Pavardenis17988     4.48              
Vardenis17989       Pavardenis17989     3.04              
Vardenis17990       Pavardenis17990     4.84              
Vardenis17994       Pavardenis17994     4.76              
Vardenis17995       Pavardenis17995     4.60              
Vardenis17996       Pavardenis17996     3.16              
Vardenis17997       Pavardenis17997     4.32              
Vardenis18002       Pavardenis18002     2.84              
Vardenis18003       Pavardenis18003     2.76              
Vardenis18006       Pavardenis18006     3.28              
Vardenis18008       Pavardenis18008     4.68              
Vardenis18011       Pavardenis18011     4.04              
Vardenis18012       Pavardenis18012     4.28              
Vardenis18015       Pavardenis18015     3.52              
Vardenis18022       Pavardenis18022     4.72              
Vardenis18024       Pavardenis18024     2.56              
Vardenis18026       Pavardenis18026     4.72              
Vardenis18028       Pavardenis18028     3.36              
Vardenis18031       Pavardenis18031     2.64              
Vardenis18035       Pavardenis18035     3.32              
Vardenis18037       Pavardenis18037     4.12              
Vardenis18040       Pavardenis18040     2.44              
Vardenis18044       Pavardenis18044     3.20              
Vardenis18046       Pavardenis18046     4.96              
Vardenis18047       Pavardenis18047     4.04              
Vardenis18049       Pavardenis18049     3.56              
Vardenis18050       Pavardenis18050     3.84              
Vardenis18052       Pavardenis18052     4.04              
Vardenis18053       Pavardenis18053     4.44              
Vardenis18056       Pavardenis18056     4.52              
Vardenis18057       Pavardenis18057     4.00              
Vardenis18059       Pavardenis18059     4.40              
Vardenis18060       Pavardenis18060     3.56              
Vardenis18062       Pavardenis18062     3.92              
Vardenis18063       Pavardenis18063     3.64              
Vardenis18065       Pavardenis18065     2.76              
Vardenis18069       Pavardenis18069     4.04              
Vardenis18070       Pavardenis18070     4.64              
Vardenis18071       Pavardenis18071     3.60              
Vardenis18073       Pavardenis18073     4.08              
Vardenis18075       Pavardenis18075     4.88              
Vardenis18076       Pavardenis18076     3.52              
Vardenis18077       Pavardenis18077     2.12              
Vardenis18080       Pavardenis18080     3.68              
Vardenis18083       Pavardenis18083     3.84              
Vardenis18084       Pavardenis18084     3.68              
Vardenis18085       Pavardenis18085     2.00              
Vardenis18086       Pavardenis18086     2.96              
Vardenis18093       Pavardenis18093     4.36              
Vardenis18096       Pavardenis18096     2.36              
Vardenis18097       Pavardenis18097     3.28              
Vardenis18099       Pavardenis18099     2.08              
Vardenis18100       Pavardenis18100     3.20              
Vardenis18101       Pavardenis18101     3.20              
Vardenis18103       Pavardenis18103     3.28              
Vardenis18109       Pavardenis18109     3.04              
Vardenis18111       Pavardenis18111     4.12              
Vardenis18113       Pavardenis18113     3.08              
Vardenis18119       Pavardenis18119     3.08              
Vardenis18125       Pavardenis18125     4.12              
Vardenis18127       Pavardenis18127     3.16              
Vardenis18130       Pavardenis18130     3.60              
Vardenis18133       Pavardenis18133     2.96              
Vardenis18134       Pavardenis18134     4.16              
Vardenis18139       Pavardenis18139     4.88              
Vardenis18142       Pavardenis18142     4.12              
Vardenis18143       Pavardenis18143     4.96              
Vardenis18145       Pavardenis18145     2.72              
Vardenis18146       Pavardenis18146     3.88              
Vardenis18149       Pavardenis18149     4.68              
Vardenis18151       Pavardenis18151     4.48              
Vardenis18152       Pavardenis18152     4.44              
Vardenis18153       Pavardenis18153     3.48              
Vardenis18156       Pavardenis18156     3.20              
Vardenis18157       Pavardenis18157     3.04              
Vardenis18165       Pavardenis18165     3.12              
Vardenis18171       Pavardenis18171     3.24              
Vardenis18172       Pavardenis18172     3.24              
Vardenis18177       Pavardenis18177     4.64              
Vardenis18182       Pavardenis18182     3.56              
Vardenis18188       Pavardenis18188     2.48              
Vardenis18190       Pavardenis18190     2.28              
Vardenis18192       Pavardenis18192     4.12              
Vardenis18193       Pavardenis18193     4.64              
Vardenis18194       Pavardenis18194     4.40              
Vardenis18195       Pavardenis18195     4.24              
Vardenis18198       Pavardenis18198     3.64              
Vardenis18199       Pavardenis18199     4.28              
Vardenis18200       Pavardenis18200     3.76              
Vardenis18202       Pavardenis18202     3.16              
Vardenis18204       Pavardenis18204     4.20              
Vardenis18205       Pavardenis18205     3.28              
Vardenis18206       Pavardenis18206     3.36              
Vardenis18210       Pavardenis18210     2.44              
Vardenis18212       Pavardenis18212     3.48              
Vardenis18215       Pavardenis18215     2.88              
Vardenis18216       Pavardenis18216     4.20              
Vardenis18220       Pavardenis18220     3.08              
Vardenis18221       Pavardenis18221     4.24              
Vardenis18222       Pavardenis18222     3.76              
Vardenis18224       Pavardenis18224     4.60              
Vardenis18225       Pavardenis18225     2.92              
Vardenis18226       Pavardenis18226     4.16              
Vardenis18228       Pavardenis18228     3.08              
Vardenis18231       Pavardenis18231     3.80              
Vardenis18233       Pavardenis18233     3.08              
Vardenis18237       Pavardenis18237     3.72              
Vardenis18239       Pavardenis18239     4.28              
Vardenis18245       Pavardenis18245     3.88              
Vardenis18248       Pavardenis18248     2.84              
Vardenis18249       Pavardenis18249     4.32              
Vardenis18250       Pavardenis18250     4.04              
Vardenis18252       Pavardenis18252     2.80              
Vardenis18254       Pavardenis18254     2.92              
Vardenis18255       Pavardenis18255     2.68              
Vardenis18257       Pavardenis18257     2.36              
Vardenis18261       Pavardenis18261     3.48              
Vardenis18266       Pavardenis18266     4.44              
Vardenis18269       Pavardenis18269     3.36              
Vardenis18270       Pavardenis18270     4.88              
Vardenis18272       Pavardenis18272     3.20              
Vardenis18280       Pavardenis18280     4.68              
Vardenis18284       Pavardenis18284     3.80              
Vardenis18287       Pavardenis18287     4.52              
Vardenis18289       Pavardenis18289     2.72              
Vardenis18290       Pavardenis18290     2.64              
Vardenis18292       Pavardenis18292     2.68              
Vardenis18293       Pavardenis18293     3.36              
Vardenis18295       Pavardenis18295     3.96              
Vardenis18297       Pavardenis18297     4.96              
Vardenis18298       Pavardenis18298     3.00              
Vardenis18300       Pavardenis18300     3.88              
Vardenis18301       Pavardenis18301     4.24              
Vardenis18304       Pavardenis18304     3.08              
Vardenis18307       Pavardenis18307     3.28              
Vardenis18309       Pavardenis18309     3.96              
Vardenis18312       Pavardenis18312     3.84              
Vardenis18313       Pavardenis18313     4.44              
Vardenis18314       Pavardenis18314     4.16              
Vardenis18316       Pavardenis18316     3.48              
Vardenis18318       Pavardenis18318     2.88              
Vardenis18320       Pavardenis18320     2.68              
Vardenis18324       Pavardenis18324     4.40              
Vardenis18325       Pavardenis18325     3.16              
Vardenis18326       Pavardenis18326     4.16              
Vardenis18331       Pavardenis18331     2.68              
Vardenis18335       Pavardenis18335     3.24              
Vardenis18336       Pavardenis18336     3.04              
Vardenis18341       Pavardenis18341     2.96              
Vardenis18342       Pavardenis18342     4.16              
Vardenis18343       Pavardenis18343     4.36              
Vardenis18347       Pavardenis18347     4.92              
Vardenis18352       Pavardenis18352     2.84              
Vardenis18355       Pavardenis18355     3.68              
Vardenis18357       Pavardenis18357     4.08              
Vardenis18358       Pavardenis18358     3.04              
Vardenis18359       Pavardenis18359     2.76              
Vardenis18360       Pavardenis18360     4.08              
Vardenis18363       Pavardenis18363     3.76              
Vardenis18364       Pavardenis18364     4.84              
Vardenis18365       Pavardenis18365     2.40              
Vardenis18366       Pavardenis18366     2.92              
Vardenis18369       Pavardenis18369     3.32              
Vardenis18370       Pavardenis18370     2.68              
Vardenis18375       Pavardenis18375     3.52              
Vardenis18376       Pavardenis18376     3.04              
Vardenis18377       Pavardenis18377     4.84              
Vardenis18379       Pavardenis18379     2.72              
Vardenis18380       Pavardenis18380     3.36              
Vardenis18381       Pavardenis18381     2.00              
Vardenis18385       Pavardenis18385     4.88              
Vardenis18387       Pavardenis18387     3.68              
Vardenis18393       Pavardenis18393     3.68              
Vardenis18394       Pavardenis18394     2.84              
Vardenis18396       Pavardenis18396     2.60              
Vardenis18397       Pavardenis18397     4.84              
Vardenis18398       Pavardenis18398     3.24              
Vardenis18402       Pavardenis18402     3.44              
Vardenis18403       Pavardenis18403     4.60              
Vardenis18404       Pavardenis18404     2.48              
Vardenis18405       Pavardenis18405     3.88              
Vardenis18408       Pavardenis18408     2.60              
Vardenis18409       Pavardenis18409     2.84              
Vardenis18411       Pavardenis18411     3.72              
Vardenis18414       Pavardenis18414     3.72              
Vardenis18415       Pavardenis18415     2.52              
Vardenis18416       Pavardenis18416     3.56              
Vardenis18422       Pavardenis18422     3.96              
Vardenis18425       Pavardenis18425     4.56              
Vardenis18428       Pavardenis18428     4.36              
Vardenis18429       Pavardenis18429     3.72              
Vardenis18430       Pavardenis18430     2.64              
Vardenis18432       Pavardenis18432     3.32              
Vardenis18438       Pavardenis18438     4.84              
Vardenis18441       Pavardenis18441     2.88              
Vardenis18443       Pavardenis18443     4.76              
Vardenis18451       Pavardenis18451     4.72              
Vardenis18452       Pavardenis18452     4.00              
Vardenis18454       Pavardenis18454     4.36              
Vardenis18455       Pavardenis18455     4.20              
Vardenis18457       Pavardenis18457     2.92              
Vardenis18458       Pavardenis18458     3.00              
Vardenis18459       Pavardenis18459     2.52              
Vardenis18468       Pavardenis18468     2.88              
Vardenis18471       Pavardenis18471     3.96              
Vardenis18476       Pavardenis18476     4.44              
Vardenis18477       Pavardenis18477     4.48              
Vardenis18479       Pavardenis18479     3.28              
Vardenis18480       Pavardenis18480     4.56              
Vardenis18481       Pavardenis18481     3.28              
Vardenis18482       Pavardenis18482     3.92              
Vardenis18487       Pavardenis18487     2.56              
Vardenis18489       Pavardenis18489     4.40              
Vardenis18491       Pavardenis18491     3.44              
Vardenis18492       Pavardenis18492     2.44              
Vardenis18498       Pavardenis18498     3.20              
Vardenis18499       Pavardenis18499     2.68              
Vardenis18504       Pavardenis18504     4.76              
Vardenis18505       Pavardenis18505     4.88              
Vardenis18506       Pavardenis18506     2.76              
Vardenis18508       Pavardenis18508     4.76              
